name	kind	expansion	primary
\redB	construct	\textcolor{##ff8482}{#1}	
\redC	construct	\textcolor{##f9685d}{#1}	
\redD	construct	\textcolor{##e84d39}{#1}	
\redE	construct	\textcolor{##bc2612}{#1}	
\renewcommand	contextual		
\rlap	construct	\mathrlap{\textrm{#1}}	
\rq	construct	'	
\rrbracket	construct	\html@mathml{\mathclose{]\mkern-3.2mu]}}{\mathclose{\char`⟧}}	
\sdot	alias	\cdot	\cdot
\sect	alias	\S	\S
\set	construct	\bra@set{\{\,}{\mid}{}{\,\}}	
\show	contextual		
\simcolon	construct	\mathrel{\sim\mathrel{\mkern-1.2mu}\vcentcolon}	
\simcoloncolon	construct	\mathrel{\sim\mathrel{\mkern-1.2mu}\dblcolon}	
\spades	alias	\spadesuit	\spadesuit
\sub	alias	\subset	\subset
\sube	alias	\subseteq	\subseteq
\substack	construct	\begin{subarray}{c}#1\end{subarray}	
\supe	alias	\supseteq	\supseteq
\tag	construct	\@ifstar\tag@literal\tag@paren	
\tag@literal	contextual		
\tag@paren	construct	\tag@literal{({#1})}	
\tealA	construct	\textcolor{##94fff5}{#1}	
\tealB	construct	\textcolor{##26edd5}{#1}	
\tealC	construct	\textcolor{##01d1c1}{#1}	
\tealD	construct	\textcolor{##01a995}{#1}	
\tealE	construct	\textcolor{##208170}{#1}	
\textcopyright	construct	\html@mathml{\textcircled{c}}{\char`©}	
\textregistered	construct	\html@mathml{\textcircled{\scriptsize R}}{\char`®}	
\thetasym	alias	\vartheta	\vartheta
\thickspace	construct	\;	
\thinspace	construct	\,	
\tmspace	construct	\TextOrMath{\kern#1#3}{\mskip#1#2}\relax	
