command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\boxdotRight	symbol	math	U+22A1 U+21D2	boxdotRight		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:164	
\boxdotleft	symbol	math	U+2190 U+22A1	boxdotleft		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:161	
\boxdotright	symbol	math	U+22A1 U+2192	boxdotright		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:163	
\boxleft	symbol	math	U+2190 U+25A1	boxleft		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:165	
\boxright	symbol	math	U+25A1 U+2192	boxright		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:167	
\boxslash	symbol	math	U+29C5	boxslash					lib/LaTeXML/Package/txfonts.sty.ltxml:37	
\chiup	symbol	math	U+03C7	chiup				\chi	lib/LaTeXML/Package/txfonts.sty.ltxml:359	
\circledbar	symbol	math	U+29B6	circledbar					lib/LaTeXML/Package/txfonts.sty.ltxml:23	
\circledbslash	symbol	math	U+29B8	circledbslash					lib/LaTeXML/Package/txfonts.sty.ltxml:24	
\circleddot	symbol	math	U+2299	circleddot				\odot	lib/LaTeXML/Package/txfonts.sty.ltxml:38	
\circleddotleft	symbol	math	U+2190 U+2299	circleddotleft		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:169	
\circleddotright	symbol	math	U+2299 U+2192	circleddotright		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:170	
\circledgtr	symbol	math	U+29C1	circledgtr		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:171	
\circledless	symbol	math	U+29C0	circledless		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:172	
\circledminus	symbol	math	U+2296	circledminus				\ominus	lib/LaTeXML/Package/txfonts.sty.ltxml:39	
\circledplus	symbol	math	U+2295	circledplus				\oplus	lib/LaTeXML/Package/txfonts.sty.ltxml:40	
\circledslash	symbol	math	U+2298	circledslash				\oslash	lib/LaTeXML/Package/txfonts.sty.ltxml:41	
\circledtimes	symbol	math	U+2297	circledtimes				\otimes	lib/LaTeXML/Package/txfonts.sty.ltxml:42	
\circledvee	symbol	math	U+2228 U+20DD	circledvee					lib/LaTeXML/Package/txfonts.sty.ltxml:25	
\circledwedge	symbol	math	U+2227 U+20DD	circledwedge					lib/LaTeXML/Package/txfonts.sty.ltxml:26	
\circleleft	symbol	math	U+2190 U+25CB	circleleft		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:173	
\circleright	symbol	math	U+25CB U+2192	circleright		RELOP			lib/LaTeXML/Package/txfonts.sty.ltxml:174	
\colonapprox	symbol	math	U+003A U+2248	colonapprox		RELOP		\colonapprox	lib/LaTeXML/Package/txfonts.sty.ltxml:175	
\coloneq	symbol	math	U+003A U+002D	coloneq		RELOP		\coloneq	lib/LaTeXML/Package/txfonts.sty.ltxml:177	
\coloneqq	symbol	math	U+2254	coloneqq		RELOP		\coloneqq	lib/LaTeXML/Package/txfonts.sty.ltxml:179	
\colonsim	symbol	math	U+003A U+223C	colonsim		RELOP		\colonsim	lib/LaTeXML/Package/txfonts.sty.ltxml:181	
\deltaup	symbol	math	U+03B4	deltaup				\delta	lib/LaTeXML/Package/txfonts.sty.ltxml:336	
\epsilonup	symbol	math	U+03F5	epsilonup				\epsilon	lib/LaTeXML/Package/txfonts.sty.ltxml:337	
\eqcolon	symbol	math	U+002D U+003A	eqcolon		RELOP		\eqcolon	lib/LaTeXML/Package/txfonts.sty.ltxml:193	
\eqqcolon	symbol	math	U+2255	eqqcolon		RELOP		\eqqcolon	lib/LaTeXML/Package/txfonts.sty.ltxml:195	
\eqsim	symbol	math	U+2242	eqsim		RELOP		\eqsim	lib/LaTeXML/Package/txfonts.sty.ltxml:196	
\etaup	symbol	math	U+03B7	etaup				\eta	lib/LaTeXML/Package/txfonts.sty.ltxml:340	
\fint	symbol	math	U+2A0F	fint	integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:46	
\fintop	symbol	math	U+2A0F	fintop	integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:48	
\gammaup	symbol	math	U+03B3	gammaup				\gamma	lib/LaTeXML/Package/txfonts.sty.ltxml:335	
\idotsint	symbol	math	U+222B U+22EF U+222B	idotsint	multiple-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:50	
\idotsintop	symbol	math	U+222B U+22EF U+222B	idotsintop	multiple-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:52	
\iiiint	symbol	math	U+2A0C	iiiint	quadruple-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:62	
\iiiintop	symbol	math	U+2A0C	iiiintop	quadruple-integral	INTOP			lib/LaTeXML/Package/txfonts.sty.ltxml:64	
\iiint	symbol	math	U+222D	iiint	triple-integral	INTOP		\iiint	lib/LaTeXML/Package/txfonts.sty.ltxml:58	
\iiintop	symbol	math	U+222D	iiintop	triple-integral	INTOP		\iiint	lib/LaTeXML/Package/txfonts.sty.ltxml:60	
\iint	symbol	math	U+222C	iint	double-integral	INTOP		\iint	lib/LaTeXML/Package/txfonts.sty.ltxml:54	
\iintop	symbol	math	U+222C	iintop	double-integral	INTOP		\iint	lib/LaTeXML/Package/txfonts.sty.ltxml:56	
\invamp	symbol	math	U+214B	invamp					lib/LaTeXML/Package/txfonts.sty.ltxml:27	
\iotaup	symbol	math	U+03B9	iotaup				\iota	lib/LaTeXML/Package/txfonts.sty.ltxml:343	
\kappaup	symbol	math	U+03BA	kappaup				\kappa	lib/LaTeXML/Package/txfonts.sty.ltxml:344	
\lJoin	symbol	math	U+22C9	lJoin		RELOP		\ltimes	lib/LaTeXML/Package/txfonts.sty.ltxml:198	
