command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\gneqq	symbol	math	U+2269	gneqq	greater-than-and-not-equals	RELOP		\gneqq	lib/LaTeXML/Package/amssymb.sty.ltxml:286	
\gnsim	symbol	math	U+22E7	gnsim	greater-than-and-not-equivalent-to	RELOP		\gnsim	lib/LaTeXML/Package/amssymb.sty.ltxml:290	
\gtrapprox	symbol	math	U+2A86	gtrapprox	greater-than-or-approximately-equals	RELOP		\gtrapprox	lib/LaTeXML/Package/amssymb.sty.ltxml:153	
\gtrdot	symbol	math	U+22D7	gtrdot		RELOP		\gtrdot	lib/LaTeXML/Package/amssymb.sty.ltxml:156	
\gtreqless	symbol	math	U+22DB	gtreqless	greater-than-or-equals-or-less-than	RELOP		\gtreqless	lib/LaTeXML/Package/amssymb.sty.ltxml:163	
\gtreqqless	symbol	math	U+2A8C	gtreqqless	greater-than-or-equals-or-less-than	RELOP		\gtreqqless	lib/LaTeXML/Package/amssymb.sty.ltxml:165	
\gtrless	symbol	math	U+2277	gtrless	greater-than-or-less-than	RELOP		\gtrless	lib/LaTeXML/Package/amssymb.sty.ltxml:161	
\gtrsim	symbol	math	U+2273	gtrsim	greater-than-or-equivalent-to	RELOP		\gtrsim	lib/LaTeXML/Package/amssymb.sty.ltxml:151	
\gvertneqq	symbol	math	U+2269	gvertneqq	greater-than-and-not-equals	RELOP		\gvertneqq	lib/LaTeXML/Package/amssymb.sty.ltxml:288	
\hslash	symbol	math	U+210F	hslash	Planck-constant-over-2-pi	ID		\hslash	lib/LaTeXML/Package/amssymb.sty.ltxml:34	
\intercal	symbol	math	U+22BA	intercal		ADDOP		\intercal	lib/LaTeXML/Package/amssymb.sty.ltxml:85	
\leftarrowtail	symbol	math	U+21A2	leftarrowtail		ARROW		\leftarrowtail	lib/LaTeXML/Package/amssymb.sty.ltxml:327	
\leftleftarrows	symbol	math	U+21C7	leftleftarrows		ARROW		\leftleftarrows	lib/LaTeXML/Package/amssymb.sty.ltxml:323	
\leftrightarrows	symbol	math	U+21C6	leftrightarrows		ARROW		\leftrightarrows	lib/LaTeXML/Package/amssymb.sty.ltxml:324	
\leftrightharpoons	symbol	math	U+21CB	leftrightharpoons		ARROW		\leftrightharpoons	lib/LaTeXML/Package/amssymb.sty.ltxml:329	
\leftrightsquigarrow	symbol	math	U+21AD	leftrightsquigarrow		ARROW		\leftrightsquigarrow	lib/LaTeXML/Package/amssymb.sty.ltxml:351	
\leftthreetimes	symbol	math	U+22CB	leftthreetimes	left-semidirect-product	MULOP		\leftthreetimes	lib/LaTeXML/Package/amssymb.sty.ltxml:77	
\leqq	symbol	math	U+2266	leqq	less-than-or-equals	RELOP		\leqq	lib/LaTeXML/Package/amssymb.sty.ltxml:89	
\leqslant	symbol	math	U+2A7D	leqslant	less-than-or-equals	RELOP		\leqslant	lib/LaTeXML/Package/amssymb.sty.ltxml:91	
\lessapprox	symbol	math	U+2A85	lessapprox	less-than-or-approximately-equals	RELOP		\lessapprox	lib/LaTeXML/Package/amssymb.sty.ltxml:97	
\lessdot	symbol	math	U+22D6	lessdot		RELOP		\lessdot	lib/LaTeXML/Package/amssymb.sty.ltxml:101	
\lesseqgtr	symbol	math	U+22DA	lesseqgtr	less-than-or-equals-or-greater-than	RELOP		\lesseqgtr	lib/LaTeXML/Package/amssymb.sty.ltxml:108	
\lesseqqgtr	symbol	math	U+2A8B	lesseqqgtr	less-than-or-equals-or-greater-than	RELOP		\lesseqqgtr	lib/LaTeXML/Package/amssymb.sty.ltxml:110	
\lessgtr	symbol	math	U+2276	lessgtr	less-than-or-greater-than	RELOP		\lessgtr	lib/LaTeXML/Package/amssymb.sty.ltxml:106	
\lesssim	symbol	math	U+2272	lesssim	less-than-or-similar-to	RELOP		\lesssim	lib/LaTeXML/Package/amssymb.sty.ltxml:95	
\lll	symbol	math	U+22D8	lll	very-much-less-than	RELOP		\lll	lib/LaTeXML/Package/amssymb.sty.ltxml:102	
\llless	symbol	math	U+22D8	llless	very-much-less-than	RELOP		\llless	lib/LaTeXML/Package/amssymb.sty.ltxml:104	
\lnapprox	symbol	math	U+2A89	lnapprox	less-than-and-not-approximately-equals	RELOP		\lnapprox	lib/LaTeXML/Package/amssymb.sty.ltxml:229	
\lneq	symbol	math	U+2A87	lneq	less-than-and-not-equals	RELOP		\lneq	lib/LaTeXML/Package/amssymb.sty.ltxml:221	
\lneqq	symbol	math	U+2268	lneqq	less-than-and-not-equals	RELOP		\lneqq	lib/LaTeXML/Package/amssymb.sty.ltxml:223	
